2018, Woollim Entertainment, 러블리즈 (Lovelyz), Daydream
2018, Woollim Entertainment, 러블리즈 (Lovelyz), Floral
2019, Woollim Entertainment, 러블리즈 (Lovelyz), Once upon a time
2019, Woollim Entertainment, 러블리즈 (Lovelyz), Beautiful Days
2019, Woollim Entertainment, 러블리즈 (Lovelyz), Close To You
2019, Woollim Entertainment, 러블리즈 (Lovelyz), Sweet Luv
2019, Woollim Entertainment, 러블리즈 (Lovelyz), Secret Story
2019, Woollim Entertainment, 러블리즈 (Lovelyz), LOVE GAME
2020, Woollim Entertainment, 러블리즈 (Lovelyz), Unforgettable
2020, Woollim Entertainment, 러블리즈 (Lovelyz), Obliviate
2020, Woollim Entertainment, 러블리즈 (Lovelyz), Dream in a dream
2020, Woollim Entertainment, 러블리즈 (Lovelyz), Never, Secret
2020, Woollim Entertainment, 러블리즈 (Lovelyz), Memories
2020, Woollim Entertainment, 러블리즈 (Lovelyz), Worry Dolls
2020, Woollim Entertainment, 러블리즈 (Lovelyz), Loving You (Do Do Sol Sol La La Sol OST Part.3)
2020, Woollim Entertainment, 러블리즈 (Lovelyz), Under the Sky of Suncheon (with Golden Child)
2016, Woollim Entertainment, 러블리즈 (Lovelyz), Clean (Second to Last Love OST Part.2)
2017, Woollim Entertainment, 러블리즈 (Lovelyz), Take me somewhere (Fever Music 2017)
2018, Woollim Entertainment, 러블리즈 (Lovelyz), Just Like Now (Fever Music 2018)
2019, Woollim Entertainment, 러블리즈 (Lovelyz), Sixth Sense (QUEENDOM)
2019, Woollim Entertainment, 러블리즈 (Lovelyz), Cameo (Musical Ver.)
2019, Woollim Entertainment, 러블리즈 (Lovelyz), Moonlight (QUEENDOM)
2020, Woollim Entertainment, 러블리즈 (Lovelyz), Relay (With Woollim)
2010, Woollim Entertainment, 인피니트 (Infinite), Come Back Again (다시 돌아와)
2010, Woollim Entertainment, 인피니트 (Infinite), She's Back
2011, Woollim Entertainment, 인피니트 (Infinite), BTD (Before the Dawn)
2011, Woollim Entertainment, 인피니트 (Infinite), Can U Smile (Broadcasting ver.)
2011, Woollim Entertainment, 인피니트 (Infinite), Nothing's Over
2011, Woollim Entertainment, 인피니트 (Infinite), Shot
2011, Woollim Entertainment, 인피니트 (Infinite), Be Mine (내꺼하자)
2011, Woollim Entertainment, 인피니트 (Infinite), 3분의 1 (1/3)
2011, Woollim Entertainment, 인피니트 (Infinite), Tic Toc
2011, Woollim Entertainment, 인피니트 (Infinite), Julia
2011, Woollim Entertainment, 인피니트 (Infinite), Paradise
2011, Woollim Entertainment, 인피니트 (Infinite), Cover Girl (Live ver.)
2011, Woollim Entertainment, 인피니트 (Infinite), 참지마 (Crying)
2012, Woollim Entertainment, 인피니트 (Infinite), The Chaser (추격자)
2012, Woollim Entertainment, 인피니트 (Infinite), Feel So Bad
2013, Woollim Entertainment, 인피니트 (Infinite), Man In Love (남자가 사랑할 때)
2013, Woollim Entertainment, 인피니트 (Infinite), 이보다 좋을 순 없다 (As Good As It Gets)
2013, Woollim Entertainment, 인피니트 (Infinite), Destiny
2013, Woollim Entertainment, 인피니트 (Infinite), Inception
2013, Woollim Entertainment, 인피니트 (Infinite), Request
2014, Woollim Entertainment, 인피니트 (Infinite), Last Romeo
2014, Woollim Entertainment, 인피니트 (Infinite), Follow Me
2014, Woollim Entertainment, 인피니트 (Infinite), 로시난테 (Rosinante)
2014, Woollim Entertainment, 인피니트 (Infinite), 숨 좀 쉬자 (Breathe)
2014, Woollim Entertainment, 인피니트 (Infinite), Light
2014, Woollim Entertainment, 인피니트 (Infinite), Back
2014, Woollim Entertainment, 인피니트 (Infinite), Diamond
2014, Woollim Entertainment, 인피니트 (Infinite), 눈을 감으면 (Close Your Eyes)
2014, Woollim Entertainment, 인피니트 (Infinite), 본능적으로 (Instinctively)
2015, Woollim Entertainment, 인피니트 (Infinite), Bad
2015, Woollim Entertainment, 인피니트 (Infinite), Moonlight
2016, Woollim Entertainment, 인피니트 (Infinite), The Eye (태풍)
2016, Woollim Entertainment, 인피니트 (Infinite), Air
2016, Woollim Entertainment, 인피니트 (Infinite), 그 해 여름 (The Second Story)
2016, Woollim Entertainment, 인피니트 (Infinite), 봄날 (With Woollim)
2018, Woollim Entertainment, 인피니트 (Infinite), Tell Me
2019, Woollim Entertainment, 인피니트 (Infinite), Clock
2023, Infinite Company, 인피니트 (Infinite), New Emotions
2024, Infinite Company, 인피니트 (Infinite), Flower
2012, Woollim Entertainment, 인피니트 (Infinite), Love U Like U (Shut Up Flower Boy Band OST)
2013, Woollim Entertainment, 인피니트 (Infinite), 불공평해 (Unfair Love) (20's Choice Awards Special OST)
2016, Starship Entertainment, 우주소녀(WJSN), MoMoMo
2016, Starship Entertainment, 우주소녀(WJSN), Catch Me
2016, Starship Entertainment, 우주소녀(WJSN), Secret
2016, Starship Entertainment, 우주소녀(WJSN), Would You Kiss Me
2016, Starship Entertainment, 우주소녀(WJSN), Prince
2016, Starship Entertainment, 우주소녀(WJSN), Robot
2016, Starship Entertainment, 우주소녀(WJSN), Good Night
2017, Starship Entertainment, 우주소녀(WJSN), I Wish
2017, Starship Entertainment, 우주소녀(WJSN), Babyface
2017, Starship Entertainment, 우주소녀(WJSN), Say Yes
2017, Starship Entertainment, 우주소녀(WJSN), Perfect!
2017, Starship Entertainment, 우주소녀(WJSN), Merry Go Round
2017, Starship Entertainment, 우주소녀(WJSN), Closer To You
2017, Starship Entertainment, 우주소녀(WJSN), Happy
2017, Starship Entertainment, 우주소녀(WJSN), Miracle
2017, Starship Entertainment, 우주소녀(WJSN), Mr. BADBOY
2017, Starship Entertainment, 우주소녀(WJSN), Sugar Pop
2017, Starship Entertainment, 우주소녀(WJSN), B.B.B.Boo
2017, Starship Entertainment, 우주소녀(WJSN), 기적 같은 아이 (MIRACLE)
2017, Starship Entertainment, 우주소녀(WJSN), Closer
2017, Starship Entertainment, 우주소녀(WJSN), Geeminy
2018, Starship Entertainment, 우주소녀(WJSN), Dreams Come True
2018, Starship Entertainment, 우주소녀(WJSN), Love O’Clock
2018, Starship Entertainment, 우주소녀(WJSN), Renaissance
2018, Starship Entertainment, 우주소녀(WJSN), Starry Moment
2018, Starship Entertainment, 우주소녀(WJSN), Hurry Up
2018, Starship Entertainment, 우주소녀(WJSN), Thawing
2018, Starship Entertainment, 우주소녀(WJSN), We Are
2018, Starship Entertainment, 우주소녀(WJSN), Ujung
2019, Starship Entertainment, 우주소녀(WJSN), La La Love
2019, Starship Entertainment, 우주소녀(WJSN), You Got It
2019, Starship Entertainment, 우주소녀(WJSN), Star
2019, Starship Entertainment, 우주소녀(WJSN), Boogie Up
2019, Starship Entertainment, 우주소녀(WJSN), 너, 너, 너 (Oh My Summer)
2019, Starship Entertainment, 우주소녀(WJSN), 우리의 정원 (Our Garden)
2019, Starship Entertainment, 우주소녀(WJSN), 바람 (Bada)
2019, Starship Entertainment, 우주소녀(WJSN), 소나기 (So So)
2019, Starship Entertainment, 우주소녀(WJSN), Luckitty-cat
2020, Starship Entertainment, 우주소녀(WJSN), As You Wish
2020, Starship Entertainment, 우주소녀(WJSN), Butterfly
2020, Starship Entertainment, 우주소녀(WJSN), Pantomime
2020, Starship Entertainment, 우주소녀(WJSN), 이루리 (Dreams Come True - Special Ver.)
2021, Starship Entertainment, 우주소녀(WJSN), Unnatural
2021, Starship Entertainment, 우주소녀(WJSN), Last Dance
2021, Starship Entertainment, 우주소녀(WJSN), Super Moon
2021, Starship Entertainment, 우주소녀(WJSN), New Me
2021, Starship Entertainment, 우주소녀(WJSN), Yalla
2021, Starship Entertainment, 우주소녀(WJSN), Rewind
2022, Starship Entertainment, 우주소녀(WJSN), Let Me In
2022, Starship Entertainment, 우주소녀(WJSN), Aura
2022, Starship Entertainment, 우주소녀(WJSN), Done
2022, Starship Entertainment, 우주소녀(WJSN), Stronger
2022, Starship Entertainment, 우주소녀(WJSN), HOLA
2023, Starship Entertainment, 우주소녀(WJSN), Sequence
2023, Starship Entertainment, 우주소녀(WJSN), Kiss Your Lips
2023, Starship Entertainment, 우주소녀(WJSN), Babyface
2023, Starship Entertainment, 우주소녀(WJSN), Stay Here
