title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist,year
Slide Away,240057.0,예성,Unfading Sense,,,XW,2023-10-04,,예성,2023
Small Things,202000.0,예성,Sensory Flows,,,XW,2023-01-25,,예성,2023
Together,253000.0,예성,Sensory Flows,,,XW,2023-01-25,,예성,2023
Wish,246000.0,예성,Pink Magic,,,KR,2019-06-18,,예성,2019
겨울잠 (Hibernation),195000.0,예성,Spring Falling,,,KR,2017-04-18,,예성,2017
그대뿐인지 (All but You),241000.0,예성,Spring Falling,,,KR,2017-04-18,,예성,2017
그때로 (At the Time),243000.0,"예성, 규현",Spring Falling,,,KR,2017-04-18,,예성,2017
너를 사랑하고,244000.0,"예성, LUNA",프레지던트 OST Part.2,,,KR,2010-12-30,,예성,2010
널 기다리며 (Waiting For You),,예성,파라다이스 목장 Part 2,,,KR,2011-01-31,,예성,2011
달의 노래 (My Dear),192000.0,예성,Here I am,,,KR,2016-04-19,,예성,2016
먹지,280213.0,예성,"그 겨울, 바람이 분다 OST",,,KR,2013-05-16,,예성,2013
벚꽃잎 (Spring in me),270000.0,"예성, 달총",Here I am,,,KR,2016-04-19,,예성,2016
봄날의 소나기 (Paper Umbrella),249000.0,예성,Spring Falling,,,KR,2017-04-18,,예성,2017
봄은 너니까 (Still Standing),195000.0,"예성, SURAN",봄은 너니까 (Still Standing) - SM STATION,,,KR,2020-05-01,,예성,2020
비눗방울 (So Close Yet So Far),242000.0,예성,Spring Falling,,,KR,2017-04-18,,예성,2017
어떤 말로도 (Confession),234000.0,"예성, CHANYEOL",Here I am,,,KR,2016-04-19,,예성,2016
우리 (We),216000.0,예성,Here I am,,,KR,2016-04-19,,예성,2016
체념,192000.0,예성,Super Show 2: The 2nd Asia Tour,,,KR,2009-12-10,,예성,2009
247,191000.0,STAYC,YOUNG‐LUV.COM,,,KR,2022-02-21,,STAYC,2022
ASAP,194000.0,STAYC,STAYDOM,,,KR,2021-04-08,,STAYC,2021
Be Mine,165000.0,STAYC,TEENFRESH,,,KR,2023-08-16,,STAYC,2023
BEAUTIFUL MONSTER,180000.0,STAYC,WE NEED LOVE,,,KR,2022-07-19,,STAYC,2022
Bubble,179000.0,STAYC,TEENFRESH,,,KR,2023-08-16,,STAYC,2023
BUTTERFLY,207000.0,STAYC,YOUNG‐LUV.COM,,,KR,2022-02-21,,STAYC,2022
COMPLEX,186000.0,STAYC,STEREOTYPE,,,KR,2021-09-06,,STAYC,2021
Fancy,193277.0,STAYC,Fancy,,,XW,2024-03-15,,STAYC,2024
I LIKE IT,158000.0,STAYC,WE NEED LOVE,,,KR,2022-07-19,,STAYC,2022
I Wanna Do,174000.0,STAYC,TEENFRESH,,,KR,2023-08-16,,STAYC,2023
I WANT U BABY,174000.0,STAYC,YOUNG‐LUV.COM,,,KR,2022-02-21,,STAYC,2022
I'LL BE THERE,189000.0,STAYC,STEREOTYPE,,,KR,2021-09-06,,STAYC,2021
LIKE THIS,186035.0,STAYC,Star to a Young Culture,,,KR,2020-11-12,,STAYC,2020
LIT,171000.0,STAYC,LIT,,,,2023-11-29,,STAYC,2023
LOVE,186000.0,STAYC,WE NEED LOVE,,,KR,2022-07-19,,STAYC,2022
Not Like You,169000.0,STAYC,TEENFRESH,,,KR,2023-08-16,,STAYC,2023
POPPY,180000.0,STAYC,POPPY,,,XW,2022-11-16,,STAYC,2022
RUN2U,213000.0,STAYC,YOUNG‐LUV.COM,,,KR,2022-02-21,,STAYC,2022
SAME SAME,181000.0,STAYC,YOUNG‐LUV.COM,,,KR,2022-02-21,,STAYC,2022
SLOW DOWN,190000.0,STAYC,STEREOTYPE,,,KR,2021-09-06,,STAYC,2021
SO BAD,212265.0,STAYC,Star to a Young Culture,,,KR,2020-11-12,,STAYC,2020
SO WHAT,179000.0,STAYC,STAYDOM,,,KR,2021-04-08,,STAYC,2021
Star,257473.0,STAYC,"Our Blues, Pt. 8 (Original Television Soundtrack)",,,XW,2022-05-15,,STAYC,2022
STAYC Special Movie,,STAYC,POPPY,,,JP,2022-11-23,,STAYC,2022
Teddy Bear,190000.0,STAYC,Teddy Bear,,,KR,2023-02-14,,STAYC,2023
Wannabe,172000.0,STAYC,Wannabe,,,XW,2023-11-23,,STAYC,2023
YOUNG LUV,206000.0,STAYC,YOUNG‐LUV.COM,,,KR,2022-02-21,,STAYC,2022
사랑은 원래 이렇게 아픈 건가요,218000.0,STAYC,STAYDOM,,,KR,2021-04-08,,STAYC,2021
Alive,170000.0,ONE,PRVT 01,,,,2019-11-11,,ONE,2019
Angel,195000.0,ONE,PRVT 01,,,,2019-11-11,,ONE,2019
GZB,143000.0,ONE,PRVT 01,,,,2019-11-11,,ONE,2019
Hard to Love,228000.0,ONE,PRVT 01,,,,2019-11-11,,ONE,2019
I Don't Know Anything,203000.0,ONE,PRVT 01,,,,2019-11-11,,ONE,2019
Instinct,182000.0,ONE,PRVT 01,,,,2019-11-11,,ONE,2019
Last Cigarette,288000.0,ONE,PRVT 01,,,,2019-11-11,,ONE,2019
Night Time Ride,169000.0,ONE,PRVT 01,,,,2019-11-11,,ONE,2019
Nineteen,179000.0,ONE,PRVT 01,,,,2019-11-11,,ONE,2019
Peep,250000.0,"ONE, Dok2, The Quiett",#Jelix,,,,2015-06-05,,ONE,2015
Soljik,169000.0,ONE,PRVT 01,,,,2019-11-11,,ONE,2019
Stone,152000.0,ONE,PRVT 01,,,,2019-11-11,,ONE,2019
Swift,155000.0,ONE,PRVT 01,,,,2019-11-11,,ONE,2019
Victoria,142000.0,ONE,PRVT 01,,,,2019-11-11,,ONE,2019
What a Night,199000.0,ONE,PRVT 01,,,,2019-11-11,,ONE,2019
Who,192000.0,ONE,PRVT 01,,,,2019-11-11,,ONE,2019
You Love It,184000.0,ONE,PRVT 01,,,,2019-11-11,,ONE,2019
그냥 그래,214000.0,ONE,One Day,,,US,2017-07-11,,ONE,2017
해야해,186000.0,ONE,One Day,,,US,2017-07-11,,ONE,2017
0%,229000.0,G.O.D,Chapter 5: Letter,,,KR,2002-12-27,,g.o.d,2002
134 14,208000.0,G.O.D,Chapter 4: To Home,,,KR,2001-11-11,,g.o.d,2001
1999년,91000.0,G.O.D,The 7th Chapter: Into the Sky,,,KR,2005-10-20,,g.o.d,2005
2005년,106000.0,G.O.D,The 7th Chapter: Into the Sky,,,KR,2005-10-20,,g.o.d,2005
21C 우리의 희망,210000.0,G.O.D,Chapter Two,,,KR,1999-11-25,,g.o.d,1999
2Heart,268000.0,G.O.D,The 7th Chapter: Into the Sky,,,KR,2005-10-20,,g.o.d,2005
5+4+1+5=15,291000.0,G.O.D,Chapter 8,,,KR,2014-07-08,,g.o.d,2014
5집을 내며,129000.0,G.O.D,Chapter 5: Letter,,,KR,2002-12-27,,g.o.d,2002
Back It Up,204000.0,"G.O.D, Almy",Skitzmix 48 (Mixed by Nick Skitz),,,AU,2014-11-21,,g.o.d,2014
Change,258000.0,G.O.D,The 7th Chapter: Into the Sky,,,KR,2005-10-20,,g.o.d,2005
Dance All Night,230000.0,G.O.D,Chapter Two,,,KR,1999-11-25,,g.o.d,1999
"Exit, 20th Century - Enter the 21st... (intro)",120000.0,G.O.D,Chapter Two,,,KR,1999-11-25,,g.o.d,1999
Falling,217000.0,G.O.D,The 7th Chapter: Into the Sky,,,KR,2005-10-20,,g.o.d,2005
Friday Night,210000.0,G.O.D,Chapter Two,,,KR,1999-11-25,,g.o.d,1999
God Party,219690.0,G.O.D,Chapter 3,,,KR,2000-11-03,,g.o.d,2000
Intro,67000.0,G.O.D,Chapter 1,,,KR,1998-12-15,,g.o.d,1998
It's Alright,237000.0,"G.O.D, G-Soul",The 7th Chapter: Into the Sky,,,KR,2005-10-20,,g.o.d,2005
Loving You,229000.0,G.O.D,Chapter 6,,,KR,2004-12-09,,g.o.d,2004
Report to the Dance Floor,201000.0,G.O.D,Chapter 5: Letter,,,KR,2002-12-27,,g.o.d,2002
Saturday Night,230000.0,G.O.D,Chapter 8,,,KR,2014-07-08,,g.o.d,2014
Say god,223000.0,G.O.D,Chapter Two,,,KR,1999-11-25,,g.o.d,1999
Smile,247000.0,G.O.D,Chapter 8,,,KR,2014-07-08,,g.o.d,2014
Stand Up,211000.0,G.O.D,Chapter 8,,,KR,2014-07-08,,g.o.d,2014
Stay The Night,189000.0,G.O.D,The 7th Chapter: Into the Sky,,,KR,2005-10-20,,g.o.d,2005
Tonight,221000.0,"G.O.D, J",Chapter 6,,,KR,2004-12-09,,g.o.d,2004
True East Side,236800.0,G.O.D,Fever Pitch: The Official Music of the 2002 FIFA World Cup,,,CA,2002,,g.o.d,2002
가자,249000.0,G.O.D,Chapter 4: To Home,,,KR,2001-11-11,,g.o.d,2001
거짓말,242000.0,G.O.D,Chapter 3,,,KR,2000-11-03,,g.o.d,2000
걸어선 안되는 전화,305000.0,G.O.D,Chapter 5: Letter,,,KR,2002-12-27,,g.o.d,2002
관찰,216000.0,G.O.D,Chapter 1,,,KR,1998-12-15,,g.o.d,1998
그대 날 떠난 후로,218000.0,G.O.D,Chapter Two,,,KR,1999-11-25,,g.o.d,1999
그대 날 떠난후로,,G.O.D,TPA Ballad Compilation Collection,,,KR,2002-01,,g.o.d,2002
기차,271000.0,G.O.D,Chapter Two,,,KR,1999-11-25,,g.o.d,1999
기회를 줘,270000.0,G.O.D,Chapter 5: Letter,,,KR,2002-12-27,,g.o.d,2002
길,226000.0,G.O.D,Chapter 4: To Home,,,KR,2001-11-11,,g.o.d,2001
나 그대에게,239000.0,G.O.D,The 7th Chapter: Into the Sky,,,KR,2005-10-20,,g.o.d,2005
나는 알아,245000.0,G.O.D,Chapter 4: To Home,,,KR,2001-11-11,,g.o.d,2001
나쁜 여자,253000.0,G.O.D,Chapter 1,,,KR,1998-12-15,,g.o.d,1998
나와 함께 춤을 춰,235964.0,G.O.D,Chapter 3,,,KR,2000-11-03,,g.o.d,2000
난 남자가 있어,242000.0,"G.O.D, 김정은",Chapter 4: To Home,,,KR,2001-11-11,,g.o.d,2001
난 너에게,204000.0,G.O.D,Chapter 1,,,KR,1998-12-15,,g.o.d,1998
난 사랑을 몰라,255138.0,G.O.D,Chapter 3,,,KR,2000-11-03,,g.o.d,2000
난 좋아,216000.0,G.O.D,Chapter 8,,,KR,2014-07-08,,g.o.d,2014
날 기다려줘,257000.0,G.O.D,Chapter 1,,,KR,1998-12-15,,g.o.d,1998
노래 불러줘요,248000.0,"G.O.D, IU",Chapter 8,,,KR,2014-07-08,,g.o.d,2014
눈치 없는 눈물,231000.0,G.O.D,Chapter 5: Letter,,,KR,2002-12-27,,g.o.d,2002
니 맘을 몰라,246000.0,G.O.D,The 7th Chapter: Into the Sky,,,KR,2005-10-20,,g.o.d,2005
니가 다시 돌아올 수 있도록,243000.0,G.O.D,Chapter 1,,,KR,1998-12-15,,g.o.d,1998
니가 있어야 할 곳,219000.0,G.O.D,Chapter 4: To Home,,,KR,2001-11-11,,g.o.d,2001
니가 필요해,203703.0,G.O.D,Chapter 3,,,KR,2000-11-03,,g.o.d,2000
다섯 남자 이야기,195000.0,G.O.D,Chapter Two,,,KR,1999-11-25,,g.o.d,1999
다시,282000.0,G.O.D,Chapter 4: To Home,,,KR,2001-11-11,,g.o.d,2001
더듬고 있어,235000.0,G.O.D,Chapter 5: Letter,,,KR,2002-12-27,,g.o.d,2002
돌아와줘,248477.0,G.O.D,Chapter 3,,,KR,2000-11-03,,g.o.d,2000
두개의 문 (At. J.Y.Park 'The Asiansoul'),218000.0,G.O.D,The 7th Chapter: Into the Sky,,,KR,2005-10-20,,g.o.d,2005
떠나지 못하는 이유,249000.0,G.O.D,Chapter 4: To Home,,,KR,2001-11-11,,g.o.d,2001
만남,210000.0,G.O.D,The 7th Chapter: Into the Sky,,,KR,2005-10-20,,g.o.d,2005
