release_id,title,status,release_date,country,artists
8f629f41-30a1-43a5-a99a-3fa97766abf6,Miracle,Official,2018-01-29,US,Golden Child
996961f1-b16d-4afd-abd0-0d364f6c1328,Pump It Up,Official,2020-10-07,KR,Golden Child
99c6da1d-5a76-4328-808a-d00b9c65b20d,Pink Punch,Official,2019-08-07,XW,Rocket Punch
9f0030f8-50d7-4e27-bf13-f753db57afcf,Tiger Eyes,Official,2020-05-20,KR,류수정
a0fef3c3-4c65-4cf8-bb71-66d7b57cf21b,RED PUNCH,Official,2020-02-10,KR,Rocket Punch
a1b0c5ed-ffda-4464-b83b-858acb40efdd,Without You,Official,2020-01-29,KR,Golden Child
a2578ef0-d0ec-4cf8-a649-90dd88321ac2,SANCTUARY,Official,2018-11-26,KR,Lovelyz
a3cbe5af-3271-4e1f-b02e-33a1f537e15e,Free Pass,Official,2021-06-29,KR,DRIPPIN
a6516428-be34-4251-ae8e-6e7dd9f29512,Re-boot,Official,2019-11-18,XW,Golden Child
ac54b156-eef1-445c-97da-d69bd924108e,YELLOW PUNCH,Official,2022-02-28,KR,Rocket Punch
af358e13-b5aa-444b-8eb5-8da9949cd8ae,SANCTUARY,Official,2018-11-26,KR,Lovelyz
b1bb4644-ee91-473f-9fb4-769a6b8b9af5,TIGER EYES,Official,2020-05-20,KR,류수정
b278b268-3c55-4d75-af72-cdeb8f7231c9,My Name,Official,2022-04-26,KR,Lee Su Jeong
b4ae818e-df96-4162-a305-a7b2167858e5,Heal,Official,2018-04-23,US,Lovelyz
b4ebdbb7-9d0e-4408-8ea2-14ad733fe043,INFINITE ONLY,Official,2016-09-19,KR,INFINITE
b5efe36f-dafe-4b35-a52e-1bec7b9d7b19,My Name,Official,2022-04-26,XW,Lee Su Jeong
b8a57b1b-26bf-4f56-b884-14f570385c56,WISH,Official,2018-10-24,KR,Golden Child
ba27970a-067f-4161-8270-12100ee89d68,R U Ready?,Official,2017-02-27,XW,Lovelyz
